Codigo,Nombre,Categoria,Estado,Departamento,Municipio,Altitud,Fecha_instalacion,Fecha_suspension,Corriente,Latitude,Longitud
52057100,RUMICHACA - AUT [52057100],Limnigráfica,Activa,Nariño,Ipiales,2582,15/11/2016,,Guaitara,0.81378611,-77.66197778
52055170,LA JOSEFINA - AUT [52055170],Climática Principal,Activa,Nariño,Contadero,2450,10/12/2005,,Guaitara,0.93030556,-77.49119444
52055220,EL PARAISO - AUT [52055220],Climática Principal,Activa,Nariño,Túquerres,3120,01/03/2004,,Guaitara,1.07061111,-77.63688889
44015070,EL PEPINO - AUT [44015070],Climática Principal,Activa,Putumayo,Mocoa,760,11/11/2005,,Guaitara,1.08288889,-76.66711111
48015040,PUERTO NARINO - AUT [48015040],Climática Principal,Activa,Amazonas,Puerto Nariño,158,19/07/2005,,Amazonas,-3.78030556,-70.36263889
44135020,CAHUINARI - AUT [44135020],Climática Principal,Suspendida,Amazonas,Santander (Araracuara),118,04/02/2006,04/08/2011,Amazonas,-1.35166667,-70.80375
44135030,CHIRIBIQUETE - AUT [44135030],Climática Principal,Suspendida,Caquetá,Solano,256,04/02/2006,29/07/2011,Amazonas,-0.07416667,-72.45138889
52055150,CERRO PARAMO  - AUT [52055150],Climática Principal,Activa,Nariño,Puerres,3585,08/12/2005,,0,0.84311111,-77.38880556
44037040,EL ROSARIO - AUT [44037040],Limnigráfica,Activa,Caquetá,Florencia (Caquetá),600,15/08/1964,,CarañO,1.72525,-75.66638889
52077020,LOS NORTES - AUT [52077020],Limnigráfica,Activa,Nariño,Cumbitara,340,15/09/1984,,Patia,1.74111111,-77.53111111
51039010,TUMACO - AUT [51039010],Mareográfica,Activa,Nariño,Tumaco,0,15/09/1951,,Pacifico,1.81930556,-78.73027778
21017050,PITALITO 2 - AUT [21017050],Limnigráfica,Activa,Huila,Pitalito,1250,15/05/1972,,Guarapas,1.84883333,-76.05244444
51025060,BIOTOPO - AUT [51025060],Climática Principal,Activa,Nariño,Barbacoas,512,12/12/2005,,Guarapas,1.40863889,-78.28161111
51025090,GRANJA EL MIRA - - AUT [51025090],Climática Principal,Activa,Nariño,Tumaco,16,01/08/2016,,0,1.55019444,-78.69558333
52077010,PUENTE PUSMEO - AUT [52077010],Limnigráfica,Activa,Nariño,Cumbitara,380,15/09/1965,,Patia,1.62405556,-77.47891667
51027060,SAN JUAN MIRA - AUT [51027060],Limnigráfica,Activa,Nariño,Tumaco,2,15/12/1980,,Mira,1.42388889,-78.67027778
44037060,FLORENCIA-HACHA [44037060],Limnigráfica,Activa,Caquetá,Florencia (Caquetá),270,15/02/1971,,Hacha,1.62116667,-75.61922222
51020011,Piedrancha - - AUT [51020011],Pluviográfica,Activa,Nariño,Mallama (Piedrancha),1830,01/07/2016,,Hacha,1.14152778,-77.92897222
44015060,ACUEDUCTO MOCOA - AUT [44015060],Climática Principal,Activa,Putumayo,Mocoa,650,29/03/2006,,Hacha,1.15733333,-76.65183333
52055210,BOTANA - AUT [52055210],Climática Principal,Activa,Nariño,Pasto,2820,01/03/2004,,Hacha,1.16,-77.27880556
51025070,RICAURTE - AUT [51025070],Climática Principal,Suspendida,Nariño,Ricaurte (Nariño),1210,15/12/2005,25/08/2006,Hacha,1.21533333,-77.99691667
26015030,PNN PURACE - AUT [26015030],Climática Principal,Activa,Cauca,Puracé (Coconuco),368,26/09/2007,,Vaupes,2.35684889,-76.40354389
52035040,VIENTO LIBRE - AUT [52035040],Climática Ordinaria,Activa,Nariño,Taminango,1400,01/03/2004,,0,1.62,-77.34
26015010,EL TABLAZO - AUT [26015010],Climática Principal,Activa,Cauca,Popayán,1837,28/06/2005,,Vaupes,2.47483306,-76.58129361
21017020,SAN AGUSTIN - AUT [21017020],Limnigráfica,Activa,Huila,San Agustín,1233,15/04/1971,,Sombrerillos,1.87027778,-76.23161111
21015050,PURACE  - AUT [21015050],Climática Principal,Activa,Huila,San Agustín,1900,17/07/2005,,Sombrerillos,1.92591667,-76.42755556
21015040,LA PRIMAVERA - AUT [21015040],Climática Principal,Activa,Huila,Saladoblanco,1919,28/07/2005,,Sombrerillos,2.02158333,-76.11433333
52015050,BALBOA - AUT [52015050],Climática Principal,Activa,Cauca,Balboa (Cauca),1700,27/09/2005,,Suaza,2.03277778,-77.22166667
52025090,LA SIERRA - AUT [52025090],Climática Principal,Activa,Cauca,La Sierra,1870,23/09/2005,,Suaza,2.19383333,-76.75033333
21015060,MARENGO  - AUT [21015060],Agrometeorológica,Activa,Huila,Pitalito,1550,23/07/2005,,Suaza,2.22111111,-76.11888889
46015030,SAN VICENTE DEL CAGUAN  - AUT [46015030],Climática Principal,Activa,Caquetá,San Vicente Del Caguán,300,29/09/2008,,0,2.063,-74.76269444
21047010,PUENTE BALSEADERO [21047010],Limnigráfica,Suspendida,Huila,Agrado,688,05/09/1971,14/06/2018,Magdalena,2.23236111,-75.64855556
53075020,EL DIVISO - AUT [53075020],Climática Principal,Activa,Cauca,Argelia (Cauca),1750,29/09/2005,,Magdalena,2.31141667,-77.25877778
26035090,LA LAGUNA DE CAJIBIO [26035090],Climática Principal,Suspendida,Cauca,Cajibío,1872,04/10/2004,06/01/2016,Magdalena,2.699175,-76.59544444
21057100,TALAGA TOEZ - AUT [21057100],Limnigráfica,Suspendida,Cauca,Páez (Belalcázar),1900,01/09/1991,26/04/2007,Paez,2.70555556,-76.02219444
52045080,UNIVERSIDAD DE NARINO  - AUT [52045080],Climática Ordinaria,Activa,Nariño,Pasto,2626,13/04/2004,,0,1.23,-77.28
21115170,LA PLATA - AUT [21115170],Climática Principal,Activa,Huila,Neiva,2101,20/07/2005,,Paez,2.75913889,-75.07455556
21097070,PUENTE SANTANDER [21097070],Limnigráfica,Activa,Huila,Neiva,431,15/09/1960,,Magdalena,2.94261111,-75.30852778
57025020,GORGONA GUAPI [57025020],Climática Principal,Activa,Cauca,Guapi,10,18/09/2005,,Magdalena,2.96294444,-78.17436111
22025040,EL DIABLO - AUT [22025040],Climática Principal,Activa,Cauca,Páez (Belalcázar),495,31/05/2005,,Quebrada Don Abad,2.97772222,-76.06383333
53077010,ANGOSTURA RIO MICAY [53077010],Limnigráfica,Activa,Cauca,López,120,15/03/1960,,Micay,2.80122222,-77.24102778
21117100,PUEBLO NUEVO - AUT [21117100],Limnigráfica,Activa,Huila,Neiva,1280,15/06/1983,,Ceibas,2.82744444,-75.08883333
48017050,BOCATOMA YAGUARCACA [48017050],Limnimétrica,Suspendida,Amazonas,Leticia,83,15/12/1989,14/01/2014,Quebrada Yahuarcaca,-4.19047222,-69.95027778
25027980,UNION LA [25027980],Limnigráfica,Suspendida,Bolívar,Pinillos,23,15/10/1976,15/11/1976,Cga. La Iguana,8.7,-74.31666667
